Poolu Poachers
Adah Sharma | Opening Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Eva Prakash | Pace Bowler | Batting: Left Hand Bowling: Left Arm Fast
Mahima Nambiar | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Neetu Chandra | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Anumol | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Nandita Sweta | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Sanjanaa Galrani | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast


Thayoli Trackers
Pavithra Lakshmi | Opening Batter | Batting: Left Hand Bowling: Right Arm Fast
Priyanka Mohan | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Samyuktha Menon | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Sanchita Shetty | Opening Batter | Batting: Left Hand Bowling: Left Arm Fast
Isha Talwar | Top Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Priyanka Deshpande | Top Order Batter | Batting: Left Hand Bowling: Left Arm Medium-Fast
Sshivada | Top Order Batter | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Kayadu Lohar | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Legspin
Remya Nambeesan | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Legspin
Abhirami Venkatachalam | Opening Keeper-Batter | Batting: Left Hand Bowling: N/A
Abi Nakshatra | Opening Keeper-Batter | Batting: Right Hand Bowling: N/A
Rachel David | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Nisha Aggarwal | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Fast
Pooja Hegde | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium-Fast
Sameera Reddy | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Soundariya Nanjundan | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Gauthami Nair | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Varsha Sounderajan | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Ariyana Glory | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Kavitha Gowda | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Tanvi Ram | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Arthana Binu | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Manjima Mohan | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Priyanka Nalkari | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast
Riddhi Kumar | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast


Pooku Pookies
Bindu Madhavi | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Malavika Sreenath | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium
Sujitha Dhanush | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast
Gopika Ramesh | Top Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Indhuja Ravichandran | Top Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Meenakshi Unnikrishnan | Top Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Anjali | Middle Order Batter | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Genelia D'Souza | Middle Order Batter | Batting: Left Hand Bowling: Left Arm Medium
Nithya Menen | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Raveena Ravi | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Medium-Fast
Archana Ravichandran | Opening Keeper-Batter | Batting: Right Hand Bowling: N/A
Samantha Ruth Prabhu | Opening Keeper-Batter | Batting: Left Hand Bowling: N/A
Malvika Nair | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium
Ashika Ranganath | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Malavika Manoj | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Vaishnavi Chaitanya | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Asin Thottumkal | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Nabha Natesh | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Priyanka Nair | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Keerthi Pandian | Pace Bowler | Batting: Left Hand Bowling: Left Arm Fast-Medium
Preethi Asrani | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Anishma Anilkumar | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast-Medium
Sai Dhanshika | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Siri Hanumanth | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Vidyullekha Raman | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast


Bhosadi Blasters
Amala Shaji | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Rima Kallingal | Opening Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Sruthi Hariharan | Opening Batter | Batting: Left Hand Bowling: Left Arm Fast
Tejaswini Gowda | Opening Batter | Batting: Right Hand Bowling: Right Arm Legspin
Amritha Aiyer | Top Order Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Andrea Jeremiah | Top Order Batter | Batting: Left Hand Bowling: Left Arm Medium-Fast
Rachita Ram | Top Order Batter | Batting: Left Hand Bowling: Right Arm Fast-Medium
Kavya Madhavan | Middle Order Batter | Batting: Left Hand Bowling: Right Arm Fast-Medium
Nandana Varma | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Kavya Shasthri | Top Order Keeper-Batter | Batting: Left Hand Bowling: N/A
Krithi Shetty | Top Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Nishvika Naidu | Top Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Kalyani Priyadarshan | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Fast-Medium
Sridevi Vijayakumar | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Fast-Medium
Sriya Reddy | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Surabhi Santosh | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Padine Kumar | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Shivathmika Rajashekar | Spin Bowler | Batting: Right Hand Bowling: Right Arm Legspin
Chandini Tamilarasan | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Krithika | Pace Bowler | Batting: Left Hand Bowling: Left Arm Fast-Medium
Malavika Menon | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Samyuktha Shan | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Karthika Nair | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast
Kashmira Pardeshi | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast
Sri Gouri Priya | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast


Chutiya Champions
Catherine Tresa | Opening Batter | Batting: Left Hand Bowling: Left Arm Medium
Chaitra Reddy | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Pavani Reddy | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium
Saranya Mohan | Opening Batter | Batting: Left Hand Bowling: Right Arm Fast-Medium
Rashmika Mandanna | Top Order Batter | Batting: Left Hand Bowling: Right Arm Fast-Medium
Vinusha Devi | Top Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Divya Pillai | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Palak Lalwani | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Rhema Ashok | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Anjena Kirti | Top Order Keeper-Batter | Batting: Left Hand Bowling: N/A
Monal Gajjar | Opening Keeper-Batter | Batting: Right Hand Bowling: N/A
Rakul Preet Singh | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Gayathrie Shankar | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium-Fast
Kalpika Ganesh | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Manya Mallika | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Legspin
Sherin Shringar | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Legspin
Gehna Sippy | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Manasa Radhakrishnan | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Mounika Subramaniyam | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Ananya Nagalla | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Bhagyashri Borse | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Hamida Khatoon | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Anjana Rangan | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Anupama Parameswaran | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Vaishali Thaniga | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast-Medium


Lund Lovers
Honey Rose | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Tamannaah Bhatia | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Yashika Aannand | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Anushka Shetty | Top Order Batter | Batting: Left Hand Bowling: Left Arm Fast-Medium
Raashi Khanna | Top Order Batter | Batting: Right Hand Bowling: Right Arm Legspin
Siddhi Idnani | Top Order Batter | Batting: Left Hand Bowling: Left Arm Fast-Medium
Deepthi Nambiar | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Divya Bharathi | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Fast
Kriti Sanon | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Fast
Maanasa Choudhary | Middle Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Malavika Konnur Menon | Top Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Sayyeshaa Saigal | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium-Fast
Shruti Haasan | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium
Sunita Gogoi | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium
Brinda Acharya | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Priya Vadlamani | Spin All Rounder | Batting: Left Hand Bowling: Right Arm Legspin
Ananthi Iyappan | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Sheela Rajkumar | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Sivaangi Krishnakumar | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Devika Sanjay | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Mirnalini Ravi | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Suzane George | Pace Bowler | Batting: Left Hand Bowling: Left Arm Fast-Medium
Aparna Das | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Deepa Sannidhi | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Varsha Bollamma | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast


Ommala Omegas
Janani Ashok Kumar | Opening Batter | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Meenakshi Raveendran | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Pragya Nagra | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium
Sobhita Dhulipala | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast
Akshaya Udayakumar | Top Order Batter | Batting: Right Hand Bowling: Right Arm Medium
Meenakshi Dileep | Top Order Batter | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Anchal Singh | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Fast
Sneha Babu | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Medium
Yogalakshmi | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Asha Sharath | Opening Keeper-Batter | Batting: Right Hand Bowling: N/A
Maria Juliana | Middle Order Keeper-Batter | Batting: Left Hand Bowling: N/A
Rachana Inder | Top Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Poonam Bajwa | Pace All Rounder | Batting: Left Hand Bowling: Left Arm Fast
Shivani Narayanan | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Fast-Medium
Delna Davis | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Laila Mehdi | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Aditi Ravi | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Gabriella Charlton | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Gopika Anil | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Aurora Sinclair | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast
Ester Noronha | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Meera Vasudevan | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Manaswini K Ram | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Mrunal Thakur | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Roshni Prakash | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast


Soothu Stingers
Luthufunnissa | Opening Batter | Batting: Left Hand Bowling: Left Arm Medium-Fast
Prayaga Martin | Opening Batter | Batting: Right Hand Bowling: Right Arm Legspin
Sree Leela | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast
Archana Unnikrishnan | Top Order Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Sanam Shetty | Top Order Batter | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Varsha Viswanath | Top Order Batter | Batting: Left Hand Bowling: Right Arm Fast
Aditi Shankar | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Ananthika Sanilkumar | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Fast
Dhanya Pallath | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Fast
Vijayalakshmi Feroz | Middle Order Batter | Batting: Left Hand Bowling: Right Arm Fast-Medium
Samvrutha Sunil | Top Order Keeper-Batter | Batting: Right Hand Bowling: N/A
Nivedya Sankar | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Medium-Fast
Rupa Manjari | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Fast-Medium
Sakshi Agarwal | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Medium
Anagha | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Wamiqa Gabbi | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Anusree Nair | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Eshanya Maheshwari | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Ritu Varma | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Divya Ganesan | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast-Medium
Nivetha Pethuraj | Pace Bowler | Batting: Left Hand Bowling: Left Arm Fast
Sankavi Rajendran | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast
Avantika Mohan | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Manju Warrier | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast-Medium
Subiksha Kayarohanam | Pace Bowler | Batting: Left Hand Bowling: Right Arm Fast
